sex,race,c_charge_degree,score_text,v_type_of_assessment,age_cat,age,priors_count,juv_fel_count,decile_score,days_b_screening_arrest,type_of_assessment
1,2,0,1,0,0,-0.5735141939424258,-0.3015883762356924,-0.14185461034887148,-0.8786383171593792,-0.058036390909319543,0
1,0,0,1,0,1,0.9406052553167358,-0.3015883762356924,-0.14185461034887148,-0.8786383171593792,-0.04455449025985027,0
0,0,1,2,0,2,-1.078220677028813,-0.7112397688480602,-0.14185461034887148,0.5218249660902365,-0.058036390909319543,0
1,0,0,1,0,0,-0.7417496883045548,-0.5064140725418763,-0.14185461034887148,-0.17840667553457135,-0.058036390909319543,0
1,2,0,2,0,2,-1.1623384242098773,-0.7112397688480602,-0.14185461034887148,0.8719407869026405,-0.058036390909319543,0
1,2,0,0,0,1,1.6976649799463166,6.048008209256008,-0.14185461034887148,1.5721724285274485,-0.058036390909319543,0
1,2,0,2,0,2,-1.1623384242098773,-0.7112397688480602,-0.14185461034887148,0.17170914527783263,-0.04455449025985027,0
0,2,1,1,0,0,0.6882520137735422,-0.09676267992950852,-0.14185461034887148,-0.8786383171593792,0.07678261558537325,0
1,5,0,1,0,0,0.3517810250492841,-0.5064140725418763,-0.14185461034887148,-0.8786383171593792,-0.058036390909319543,0
1,0,0,0,0,1,1.7817827271273812,0.927365801601411,-0.14185461034887148,1.5721724285274485,0.8587328532545915,0
1,2,0,2,0,0,-0.06880771085603854,0.10806301637667537,-0.14185461034887148,0.5218249660902365,-0.058036390909319543,0
1,3,0,1,0,0,0.18354553068715504,-0.5064140725418763,-0.14185461034887148,-0.8786383171593792,-0.058036390909319543,0
1,0,0,0,0,0,-0.6576319411234902,0.5177144089890432,-0.14185461034887148,1.2220566077150445,-0.058036390909319543,0
1,0,1,0,0,0,-0.7417496883045548,-0.5064140725418763,-0.14185461034887148,1.2220566077150445,-0.058036390909319543,0
1,2,0,1,0,2,-1.1623384242098773,-0.5064140725418763,-0.14185461034887148,-0.17840667553457135,-0.11196399350719666,0
1,3,1,0,0,0,-0.5735141939424258,0.927365801601411,-0.14185461034887148,1.2220566077150445,5.442579074074146,0
1,2,0,1,0,2,-1.246456171390942,-0.7112397688480602,-0.14185461034887148,-0.17840667553457135,-0.058036390909319543,0
1,2,0,1,0,0,-0.15292545803710308,-0.7112397688480602,-0.14185461034887148,-1.2287541379717832,-0.058036390909319543,0
1,0,0,1,0,0,-0.8258674354856193,-0.7112397688480602,-0.14185461034887148,-0.5285224963469753,-0.058036390909319543,0
0,2,0,2,0,2,-0.9099851826666838,-0.7112397688480602,-0.14185461034887148,0.17170914527783263,-0.04455449025985027,0
1,0,0,0,0,2,-1.246456171390942,-0.3015883762356924,-0.14185461034887148,1.5721724285274485,-0.058036390909319543,0
1,2,1,2,0,0,-0.7417496883045548,0.10806301637667537,-0.14185461034887148,0.8719407869026405,-0.04455449025985027,0
1,0,0,2,0,0,-0.6576319411234902,0.722540105295227,-0.14185461034887148,0.17170914527783263,-0.058036390909319543,0
1,0,0,1,0,0,0.015310036325025984,-0.7112397688480602,-0.14185461034887148,-1.2287541379717832,-0.058036390909319543,0
1,2,1,1,0,0,0.4358987722303486,-0.7112397688480602,-0.14185461034887148,-0.8786383171593792,-0.04455449025985027,0
1,0,0,2,0,2,-0.9099851826666838,0.3128887126828592,-0.14185461034887148,0.8719407869026405,-0.058036390909319543,0
1,0,0,0,0,2,-0.9099851826666838,0.5177144089890432,-0.14185461034887148,1.9222882493398525,-0.04455449025985027,0
1,0,0,2,0,0,-0.2370432052181676,0.10806301637667537,-0.14185461034887148,0.8719407869026405,4.026979505879872,0
1,2,0,0,0,2,-0.9099851826666838,0.927365801601411,-0.14185461034887148,1.5721724285274485,-0.058036390909319543,0
0,2,1,1,0,1,1.4453117384031229,-0.09676267992950852,-0.14185461034887148,-1.2287541379717832,-0.38160200649658227,0
1,2,0,1,0,0,-0.15292545803710308,-0.3015883762356924,-0.14185461034887148,-0.5285224963469753,-0.058036390909319543,0
1,0,0,0,0,0,-0.6576319411234902,0.5177144089890432,1.9681230371908376,1.2220566077150445,-0.04455449025985027,0
1,3,0,1,0,1,3.380019923567607,-0.5064140725418763,-0.14185461034887148,-1.2287541379717832,-1.5545273630004095,0
1,2,0,2,0,0,-0.6576319411234902,0.5177144089890432,-0.14185461034887148,0.5218249660902365,1.5328278857280555,0
1,0,0,0,0,2,-1.246456171390942,0.10806301637667537,4.078100684730546,1.5721724285274485,-0.058036390909319543,0
0,2,0,1,0,2,-1.078220677028813,-0.5064140725418763,-0.14185461034887148,-0.5285224963469753,-0.058036390909319543,0
1,2,1,2,0,0,0.09942778350609051,0.10806301637667537,-0.14185461034887148,0.5218249660902365,-5.987166606699858e-18,0
1,2,1,1,0,1,3.043548934843349,-0.5064140725418763,-0.14185461034887148,-1.2287541379717832,-0.4220477084449901,0
1,0,0,0,0,0,-0.7417496883045548,-0.09676267992950852,1.9681230371908376,1.9222882493398525,-0.058036390909319543,0
1,3,0,1,0,0,-0.40527869958029666,-0.5064140725418763,-0.14185461034887148,-0.8786383171593792,-0.04455449025985027,0
1,2,1,1,0,0,0.18354553068715504,-0.5064140725418763,-0.14185461034887148,-0.8786383171593792,-0.16589159610507379,0
1,0,0,2,0,0,-0.6576319411234902,1.1321914979075949,-0.14185461034887148,0.8719407869026405,-0.058036390909319543,0
1,0,0,1,0,1,1.3611939912220585,-0.7112397688480602,-0.14185461034887148,-0.17840667553457135,-0.058036390909319543,0
1,0,0,0,0,0,-0.4893964467613612,0.5177144089890432,-0.14185461034887148,1.2220566077150445,-0.058036390909319543,0
1,0,0,1,0,0,0.2676632778682196,-0.7112397688480602,-0.14185461034887148,-0.5285224963469753,-0.058036390909319543,0
1,3,0,2,0,2,-0.9099851826666838,-0.7112397688480602,-0.14185461034887148,0.5218249660902365,-0.04455449025985027,0
1,0,0,2,0,2,-1.078220677028813,-0.7112397688480602,-0.14185461034887148,0.8719407869026405,-0.058036390909319543,0
1,2,1,1,0,0,-0.06880771085603854,-0.09676267992950852,-0.14185461034887148,-0.17840667553457135,-0.058036390909319543,0
1,2,0,2,0,2,-0.9099851826666838,-0.3015883762356924,-0.14185461034887148,0.17170914527783263,2.328260024046743,0
1,0,0,2,0,0,-0.6576319411234902,0.10806301637667537,-0.14185461034887148,0.17170914527783263,-0.058036390909319543,0
1,0,0,1,0,0,0.7723697609546067,-0.7112397688480602,-0.14185461034887148,-1.2287541379717832,-0.058036390909319543,0
1,2,1,1,0,0,-0.32116095239923215,-0.5064140725418763,-0.14185461034887148,-1.2287541379717832,-0.04455449025985027,0
1,2,0,1,0,1,1.277076244040994,0.3128887126828592,-0.14185461034887148,-1.2287541379717832,-0.058036390909319543,0
1,0,0,1,0,0,0.015310036325025984,0.3128887126828592,-0.14185461034887148,-0.5285224963469753,-0.058036390909319543,0
1,0,0,0,0,2,-1.1623384242098773,-0.7112397688480602,-0.14185461034887148,1.2220566077150445,-0.04455449025985027,0
1,2,1,1,0,0,-0.32116095239923215,-0.7112397688480602,-0.14185461034887148,-1.2287541379717832,-0.04455449025985027,0
1,0,0,1,0,1,2.2023714630327036,0.927365801601411,-0.14185461034887148,-0.8786383171593792,-0.3411563045481744,0
1,0,1,2,0,1,1.3611939912220585,0.927365801601411,-0.14185461034887148,0.17170914527783263,-0.058036390909319543,0
1,0,0,1,0,2,-0.9099851826666838,-0.5064140725418763,-0.14185461034887148,-0.17840667553457135,2.8675360500255143,0
1,0,0,0,0,0,0.6041342665924777,0.722540105295227,1.9681230371908376,1.5721724285274485,-0.04455449025985027,0
0,0,0,1,0,0,0.18354553068715504,-0.5064140725418763,-0.14185461034887148,-1.2287541379717832,-0.19285539740401234,0
1,0,0,1,0,0,-0.2370432052181676,0.927365801601411,-0.14185461034887148,-0.5285224963469753,0.4273120324715745,0
1,0,1,2,0,1,0.8564875081356713,1.9514942831323305,-0.14185461034887148,0.8719407869026405,-0.058036390909319543,0
1,2,1,1,0,0,-0.06880771085603854,-0.3015883762356924,-0.14185461034887148,-0.8786383171593792,-0.058036390909319543,0
1,0,0,1,0,2,-1.078220677028813,-0.7112397688480602,-0.14185461034887148,-0.17840667553457135,-0.058036390909319543,0
0,2,0,0,0,0,-0.4893964467613612,1.5418428905199626,-0.14185461034887148,1.9222882493398525,-0.0850001922082581,0
1,0,0,1,0,0,-0.8258674354856193,-0.5064140725418763,-0.14185461034887148,-0.17840667553457135,-0.36812010584711297,0
0,0,0,1,0,0,-0.5735141939424258,-0.5064140725418763,-0.14185461034887148,-0.8786383171593792,-0.058036390909319543,0
1,0,0,2,0,2,-0.9099851826666838,-0.5064140725418763,1.9681230371908376,0.5218249660902365,-3.1453916396377846,0
1,0,1,2,0,1,2.034135968670575,2.361145675744698,-0.14185461034887148,0.5218249660902365,-0.058036390909319543,0
