Status_of_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Other_debtors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,is_privileged,Risk,sex,age_cat
0.0,-1.2364778603818776,4.0,4.0,-0.8273622755866015,4.0,4.0,0.9184771676276684,0.0,3.0,0.0,0.7435500452254252,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
1.0,1.7503840448551615,2.0,4.0,0.2547533377542951,0.0,2.0,-0.8701833340815202,0.0,1.0,0.0,-1.1914039404570154,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0
3.0,-0.90460431535554,4.0,7.0,-0.637026185064472,0.0,3.0,-0.8701833340815202,0.0,2.0,0.0,0.1278828679628304,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2,2
0.0,1.2525737273156552,2.0,3.0,1.3212734427470096,0.0,3.0,-0.8701833340815202,2.0,3.0,1.0,0.039930414068174,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2,1
0.0,-0.0749204527896956,3.0,0.0,0.1377870251429305,0.0,2.0,0.0241469167730741,0.0,3.0,3.0,0.3037877757521432,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2,2
3.0,0.7547634097761486,2.0,7.0,1.5771815570058132,4.0,2.0,-0.8701833340815202,0.0,3.0,3.0,-0.3118794015104515,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2,1
3.0,-0.0749204527896956,2.0,3.0,-0.4282590392217637,2.0,4.0,0.0241469167730741,0.0,3.0,1.0,0.3037877757521432,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,2
1.0,0.7547634097761486,2.0,1.0,0.6956808919619843,0.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.3118794015104515,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,2,1
3.0,-0.90460431535554,2.0,4.0,-0.3899791550944081,3.0,3.0,-0.8701833340815202,0.0,3.0,0.0,0.5676451374361124,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2
1.0,0.7547634097761486,4.0,0.0,0.6956808919619843,0.0,0.0,0.9184771676276684,0.0,1.0,2.0,-0.9275465787730462,2.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,3,1
1.0,-0.90460431535554,2.0,0.0,-0.7649802421938737,0.0,1.0,0.0241469167730741,0.0,0.0,2.0,-0.9275465787730462,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0
0.0,1.7503840448551615,2.0,9.0,0.0303906835634049,0.0,1.0,0.0241469167730741,0.0,3.0,1.0,-0.9275465787730462,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1,0
1.0,-0.90460431535554,2.0,4.0,-0.6983448883425509,0.0,2.0,-1.7645135849361149,0.0,0.0,2.0,-1.1914039404570154,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,0
0.0,-0.0749204527896956,4.0,0.0,-0.8266533888435023,0.0,4.0,0.9184771676276684,0.0,3.0,2.0,0.479692683541456,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2,2
0.0,-0.4897623840726178,2.0,0.0,-0.6621916644444927,0.0,2.0,-0.8701833340815202,0.0,3.0,2.0,-0.9275465787730462,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
0.0,0.2569530922366421,2.0,4.0,-0.7050793124019931,1.0,2.0,0.9184771676276684,0.0,1.0,2.0,-0.3118794015104515,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1
3.0,-0.0749204527896956,4.0,4.0,-0.5154521086229628,4.0,4.0,0.9184771676276684,0.0,3.0,1.0,0.3037877757521432,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,2,2
0.0,0.5058582510063954,0.0,9.0,1.380465485795791,4.0,1.0,-0.8701833340815202,0.0,2.0,2.0,-0.9275465787730462,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2,0
1.0,0.2569530922366421,2.0,1.0,3.2990674559937188,0.0,4.0,0.9184771676276684,0.0,1.0,3.0,0.7435500452254252,2.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1,1
3.0,-0.0749204527896956,2.0,4.0,-0.2634428714512046,2.0,4.0,0.0241469167730741,0.0,1.0,2.0,-0.4877843092997643,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2,1
3.0,-1.0705410878687087,4.0,0.0,-0.627456214032633,0.0,2.0,0.9184771676276684,0.0,3.0,2.0,0.1278828679628304,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,2,2
0.0,-1.2364778603818776,2.0,4.0,-0.4906410726144914,2.0,2.0,-0.8701833340815202,0.0,2.0,0.0,-0.0480220398264823,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2,1
0.0,-0.9875727016121244,4.0,0.0,-0.6161140261430461,0.0,1.0,-1.7645135849361149,0.0,2.0,0.0,0.1278828679628304,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2,2
1.0,-0.90460431535554,4.0,1.0,-0.6682172017608358,1.0,1.0,0.0241469167730741,0.0,3.0,1.0,-0.0480220398264823,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
3.0,-0.90460431535554,4.0,3.0,-0.4261323789924662,4.0,2.0,-0.8701833340815202,0.0,0.0,2.0,-1.3673088482463285,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,3,1
0.0,-1.2364778603818776,2.0,3.0,-0.7348525556121586,0.0,2.0,-1.7645135849361149,0.0,1.0,0.0,-0.3118794015104515,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2,1
3.0,-1.2364778603818776,0.0,4.0,-1.0084828384484417,0.0,4.0,0.9184771676276684,0.0,3.0,2.0,0.3037877757521432,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3,1
2.0,-0.738667542842371,1.0,4.0,-1.0145083757647846,3.0,2.0,0.0241469167730741,0.0,2.0,0.0,0.5676451374361124,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1,1
1.0,-1.1535094741252931,2.0,4.0,-0.5292754001133967,0.0,2.0,0.0241469167730741,2.0,1.0,0.0,-0.3998318554051079,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
0.0,2.2481943623946683,3.0,9.0,0.6425143862295459,0.0,4.0,0.0241469167730741,0.0,3.0,3.0,0.5676451374361124,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2,2
1.0,-0.2408572253028645,2.0,9.0,-0.4814255449542021,3.0,1.0,0.0241469167730741,0.0,2.0,0.0,0.039930414068174,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3,1
0.0,-0.0749204527896956,2.0,3.0,-0.0319913498293227,0.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.6636892170890771,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2,1
1.0,-0.5727307703292022,2.0,0.0,0.2547533377542951,1.0,2.0,-0.8701833340815202,0.0,1.0,2.0,-0.4877843092997643,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2,1
3.0,-0.90460431535554,4.0,9.0,-0.7855379577437499,4.0,4.0,0.9184771676276684,0.0,3.0,3.0,0.3917402296467996,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2
2.0,-0.738667542842371,2.0,3.0,-0.637026185064472,0.0,1.0,0.9184771676276684,0.0,0.0,1.0,-0.2239269476157951,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1,1
1.0,1.7503840448551615,4.0,4.0,0.1197104131939015,0.0,1.0,0.9184771676276684,0.0,1.0,1.0,-0.9275465787730462,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0
3.0,1.7503840448551615,4.0,7.0,0.3366297565822502,0.0,2.0,-1.7645135849361149,0.0,2.0,3.0,-0.4877843092997643,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2,1
