Group_code_code,Group_code,Group Size,Positive Prediction Rate,Demographic Parity Difference,Equal Opportunity Difference,Disparate Impact
1_1_NA," Asian-Pac-Islander,  Male, NA",133,0.13533834586466165,0.014656632368576894,0.006879498604514533,1.1214486598174827
2_0_NA," Black,  Female, NA",299,0.010033444816053512,-0.11064826868003125,-0.005941014215998297,0.08313972784600067
2_1_NA," Black,  Male, NA",300,0.09,-0.030681713496084756,0.01786850959352554,0.745763358778626
2_NA_0," Black, NA, 25 - 45",327,0.04281345565749235,-0.0778682578385924,-0.005941014215998297,0.3547634054672362
2_NA_1," Black, NA, Greater than 45",162,0.09259259259259259,-0.028089120903492165,0.045341037066053025,0.7672462538874752
4_0_NA," White,  Female, NA",1723,0.02379570516540917,-0.09688600833067558,-0.21663283811536935,0.19717738898512713
NA_0_0,"NA,  Female, 25 - 45",1003,0.023928215353938187,-0.09675349814214657,-0.21251378416904992,0.1982754027992359
NA_0_1,"NA,  Female, Greater than 45",573,0.034904013961605584,-0.08577769953447917,-0.20512800608591697,0.28922371874292263
NA_0_2,"NA,  Female, Less than 25",550,0.0,-0.12068171349608475,-0.3392743475493316,0.0
4_1_NA," White,  Male, NA",3872,0.1771694214876033,0.05648770799151856,0.03654802087172104,1.468071809349568
NA_1_0,"NA,  Male, 25 - 45",2250,0.17155555555555554,0.05087384205947079,0.024109841077575467,1.4215538592027142
NA_1_1,"NA,  Male, Greater than 45",1391,0.25305535585909417,0.13237364236300941,0.05773561922807702,2.096882357137761
NA_1_2,"NA,  Male, Less than 25",746,0.005361930294906166,-0.11531978320117858,-0.1392743475493316,0.04443034606962323
4_NA_0," White, NA, 25 - 45",2742,0.13712618526622902,0.01644447177014427,-0.016777598524624182,1.1362631611182565
4_NA_1," White, NA, Greater than 45",1736,0.20046082949308755,0.0797791159970028,0.02493287380074688,1.6610704611812712
4_NA_2," White, NA, Less than 25",1117,0.0026857654431512983,-0.11799594805293345,-0.20291071118569526,0.0222549495308453
2_0_0," Black,  Female, 25 - 45",165,0.012121212121212121,-0.10856050137487264,0.06072565245066841,0.10043950959981494
2_1_0," Black,  Male, 25 - 45",162,0.07407407407407407,-0.04660763942201068,-0.015744935784625713,0.6137970031099802
4_0_0," White,  Female, 25 - 45",784,0.02806122448979592,-0.09262048900628883,-0.21524333979739363,0.2325225891883471
4_0_1," White,  Female, Greater than 45",479,0.03966597077244259,-0.08101574272364216,-0.20594101421599828,0.32868252880523996
4_0_2," White,  Female, Less than 25",460,0.0,-0.12068171349608475,-0.3392743475493316,0.0
4_1_0," White,  Male, 25 - 45",1958,0.1807967313585291,0.06011501786244436,0.023225652450668377,1.4981286403792622
4_1_1," White,  Male, Greater than 45",1257,0.2617342879872713,0.14105257449118652,0.05574344604497444,2.1687982412991067
4_1_2," White,  Male, Less than 25",657,0.0045662100456621,-0.11611550345042265,-0.12498863326361734,0.037836801561574124
